,identification,Ca,Mg,Na,K,SO4,Cl,HCO3,CO3,Ca_mmol,Mg_mmol,Na_mmol,K_mmol,SO4_mmol,Cl_mmol,HCO3_mmol,CO3_mmol,GMC,7 hlr (b),7 hlr (b+h),Catboost (b),Catboost (b+h),SVM-L (b),SVM-L (b+h),SVM-P (b),SVM-P (b+h),SVM-RBF (b),SVM-RBF (b+h)
81,DLPUE1990-041118,90.1685,19.49,47.5566,7.77312,80.618,47.928000000000004,227.0,18.0,2.2498253409999998,0.801892615,2.0685984019999997,0.198809667,0.839281253,1.3519887169999998,3.72033565,0.299960005,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Na-HCO3,Na-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Na-HCO3,Na-HCO3
82,DLPUE2020-041118,56.3717,40.2574,66.0013,8.527999999999999,187.36,25.807,194.0,24.0,1.406549728,1.656342316,2.870898755,0.21811689999999997,1.9505288580000002,0.727983075,3.179493903,0.399946674,Na-HCO3,Na-HCO3,Na-Mg-HCO3-SO4,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
83,DLPUE2020-110218,62.9291,41.081,80.62696,8.99525,162.92700000000002,29.281999999999996,280.0,52.0,1.5701656769999999,1.6902283480000002,3.507079998,0.230067548,1.696166819,0.826008463,4.5889602730000005,0.866551127,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
84,DLPUE2039-060316,115.345,40.6597,56.1073,5.77212,131.989,43.18,332.0,44.0,2.878012875,1.672894466,2.440533409,0.147630971,1.374083868,1.218053597,5.4411957520000005,0.7332355690000001,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Ca-HCO3,Ca-Na-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3
85,DLPUE2039-110218,123.09299999999999,39.1127,67.721,7.2066300000000005,120.081,49.31100000000001,328.0,50.0,3.071335895,1.6092450109999998,2.9457015930000003,0.184320802,1.250114517,1.39100141,5.375639177,0.833222237,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Na-HCO3,Na-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Na-HCO3,Na-HCO3
86,DLPUE2045-070816,250.0,74.632,71.2385,8.21154,777.95,42.68,356.4,51.48,6.237836219,3.0706439,3.0987044339999996,0.210022942,8.098921462,1.203949224,5.8410908610000005,0.857885615,Ca-SO4,Ca-SO4,Ca-SO4-HCO3,Ca-SO4,Ca-SO4,Ca-SO4,Ca-SO4,Ca-SO4,Ca-SO4,Ca-SO4,Ca-SO4
87,DLPUE2045-110218,253.68599999999998,67.9378,76.5754,8.598339999999999,223.415,44.702,227.0,48.0,6.329806877,2.7952190910000003,3.3308468239999995,0.219915955,2.325882818,1.2609873059999999,3.72033565,0.799893348,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3-SO4,Na-HCO3,Na-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Na-HCO3,Na-HCO3
88,DLPUE2075-041118,62.3488,35.9888,38.6594,3.32617,39.382,53.919,206.0,26.0,1.555686411,1.4807159019999998,1.681591474,0.085071985,0.409990006,1.5209873059999999,3.3761636289999997,0.433275563,Na-HCO3,Na-HCO3,Na-Ca-HCO3-Cl,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3
89,DLPUE2075-180617,53.9266,34.2277,35.8135,3.08554,49.583,54.38,211.0,20.0,1.345541195,1.40825756,1.557801627,0.078917498,0.5161884729999999,1.533991537,3.4581093480000002,0.333288895,Na-HCO3,Na-HCO3,Na-Mg-HCO3-Cl,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
90,DLPUE2075-110218,70.9278,40.3038,38.6558,3.23905,77.783,73.736,193.06,39.4,1.7697439990000001,1.6582513890000001,1.6814348819999998,0.082843755,0.809767219,2.08,3.164088108,0.656579123,Ca-HCO3,Ca-HCO3,Ca-Mg-HCO3-Cl,Ca-HCO3,Ca-Na-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Ca-HCO3,Ca-HCO3
