,identification,Ca,Mg,Na,K,SO4,Cl,HCO3,CO3,Ca_mmol,Mg_mmol,Na_mmol,K_mmol,SO4_mmol,Cl_mmol,HCO3_mmol,CO3_mmol,GMC,7 hlr (b),7 hlr (b+h),Catboost (b),Catboost (b+h),SVM-L (b),SVM-L (b+h),SVM-P (b),SVM-P (b+h),SVM-RBF (b),SVM-RBF (b+h)
36,DLGUA1027-050317,10.156,2.665,144.496,8.745,68.56,35.0,185.0,30.0,0.253405859,0.10964822099999999,6.285230541000001,0.223667014,0.713750312,0.987306065,3.031991609,0.499933342,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
37,DLGUA1027-010516,2.06,5.232,131.238,8.325,67.21,37.0,200.0,4.0,0.05139977,0.215264349,5.708539237999999,0.212924859,0.6996960109999999,1.043723554,3.2778287660000003,0.066657779,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
38,DLGUA1033-010516,5.0969999999999995,10.109,179.42,9.83,112.02,29.0,152.0,2.0,0.127177005,0.41592265,7.804341045,0.251417581,1.16619472,0.818053597,2.491149862,0.033328889,Na-HCO3,Na-HCO3,Na-HCO3-SO4,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
39,DLGUA1038-230619,6.0520000000000005,1.49,207.3,4.731,115.2785,33.9008,256.8,38.52,0.151005539,0.061304258,9.01705439,0.121002703,1.20011764,0.956299013,4.208732136,0.641914411,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
40,DLGUA1038-170917,4.336,1.1420000000000001,215.7,3.781,108.1847,35.7584,240.555,36.54,0.10818903099999999,0.046986217000000004,9.382434307,0.09670497199999999,1.126266969,1.008699577,3.942490494,0.608918811,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
41,DLGUA1038-041118,5.92,1.462,233.4,4.815,107.1473,37.3962,261.59,34.34,0.147711962,0.060152232,10.15234199,0.12315113400000001,1.115467019,1.054899859,4.287236135,0.572257032,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
42,DLGUA1040-260415,186.2,37.29,219.86,16.14,606.65,81.0,578.0,6.0,4.645940416,1.5342522109999999,9.563384361,0.412805672,6.315586741000001,2.2849083219999997,9.472925134,0.099986668,Na-HCO3,Na-HCO3,Na-Ca-HCO3-SO4,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
43,DLGUA1051-160815,18.85,10.5,218.6,11.14,100.84911,11.34,316.41,39.8,0.470332851,0.432009875,9.508577374,0.284922874,1.049899121,0.319887165,5.185689,0.663244901,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
44,DLGUA1103-160619,14.36,2.91,146.5,22.76,48.3514,18.1114,307.09,57.78,0.35830131200000004,0.119728451,6.3723997489999995,0.582122496,0.5033667860000001,0.510899859,5.032942179,0.962871617,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
45,DLGUA1104-310716,1.5290000000000001,0.1052,175.2,7.727,58.9614,19.77,235.44,73.44,0.038150606000000004,0.004328328,7.620781134,0.19763007600000002,0.613823186,0.557686883,3.8586600239999997,1.223836822,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
46,DLGUA1104-060714,1.7790000000000001,0.968,179.7,8.914,64.35,20.6,228.9,75.0,0.044388443,0.039827196,7.816520375,0.22798945199999998,0.6699217120000001,0.5811001410000001,3.7514750230000002,1.249833356,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
47,DLGUA1104-160619,1.567,0.0751,137.3,10.23,55.902,21.8266,189.39,115.56,0.039098757000000005,0.003089899,5.972221745,0.261648205,0.5819730160000001,0.615700987,3.10393995,1.925743234,Na-HCO3,Na-HCO3,Na-HCO3,Ca-HCO3,Ca-Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
48,DLGUA1104-170917,2.281,0.1451,292.96,12.882,54.4311,22.5994,238.26,58.52,0.056914018,0.005969965,12.74305959,0.32947724100000003,0.566660073,0.637500705,3.9048774089999996,0.9752033059999999,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
49,DLGUA1104-090613,1.515,0.4248,195.5,8.995,62.5496,23.4502,212.0,67.84,0.037801287,0.017477885,8.503782601000001,0.230061154,0.651178479,0.661500705,3.474498492,1.130515931,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
50,DLGUA1104-091218,1.169,0.0888,179.8,7.792000000000001,57.096000000000004,24.6378,232.17,67.58,0.029168122,0.003653569,7.820870136,0.19929255199999998,0.594403265,0.69500141,3.805067523,1.1261831759999998,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
51,DLGUA1105-310716,1.6869999999999998,0.1873,176.6,2.094,62.7209,18.8,221.4,77.76,0.042092919000000006,0.007706233000000001,7.681677787000001,0.053557315999999994,0.652961814,0.530324401,3.6285564439999995,1.2958272229999999,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
52,DLGUA1105-090613,1.943,0.5683,177.6,3.668,69.1094,20.1002,207.76,55.12,0.048480463,0.02338202,7.725175396,0.09381482099999999,0.719469893,0.56700141,3.4050085219999997,0.9185441940000001,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
53,DLGUA1105-170917,1.228,0.1486,221.98,2.9293,63.2522,20.3837,184.73,87.29,0.030640252000000003,0.006113968000000001,9.655599293,0.07492141599999999,0.6584929620000001,0.57499859,3.02756654,1.454639381,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
54,DLGUA1105-090815,7.18,1.433,162.4,3.727,95.67523,20.7,279.74,31.52,0.17915065600000002,0.058959062,7.064011736,0.09532383800000001,0.996035958,0.583921016,4.584699095,0.5252632979999999,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
55,DLGUA1105-160619,1.6369999999999998,0.1741,132.3,5.044,56.2506,21.3622,191.53,100.58,0.040845352,0.007163135,5.754733699,0.12900816699999998,0.585602149,0.602600846,3.139012718,1.676109852,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
56,DLGUA1105-041118,1.381,0.17,187.39,2.0433,51.3407,23.7976,216.14,76.76,0.034457807,0.006994446,8.15101699,0.052260584000000006,0.534487174,0.6713004229999999,3.5423495480000002,1.279162778,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
57,DLGUA1105-110318,1.483,0.2191,195.85,2.2685,48.8228,24.1202,177.6,103.68,0.037002844,0.009014606,8.519006764,0.058020425,0.50827434,0.680400564,2.9107119439999996,1.727769631,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
58,DLGUA1192-200414,60.93,16.16,199.42,9.57,164.0,46.0,249.0,44.0,1.5202854430000001,0.664883769,8.674293229,0.244767675,1.707337387,1.297602257,4.080896814,0.7332355690000001,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
59,DLGUA1192-210118,58.918,27.574,225.68200000000002,19.549,150.95,48.0,322.0,78.0,1.470083337,1.134499074,9.816627442,0.49999616399999997,1.5714791369999999,1.3540197459999999,5.277304313999999,1.29982669,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
60,DLGUA1192-010516,56.81,36.77,236.358,23.91,179.27,56.0,516.0,9.0,1.417485902,1.5128574369999999,10.28100792,0.61153554,1.866307154,1.579689704,8.456798217000001,0.149980003,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
61,DLGUA1194-211018,18.543,7.952000000000001,47.141999999999996,11.633,14.44,25.0,119.0,24.0,0.46267278799999995,0.327175478,2.0505642930000003,0.297532118,0.150328975,0.705218618,1.950308116,0.399946674,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
62,DLGUA1195-211018,34.01,16.570999999999998,47.657,10.482999999999999,14.88,37.0,183.0,16.0,0.8485952390000001,0.68179387,2.072965562,0.268119074,0.154909636,1.043723554,2.999213321,0.266631116,Na-HCO3,Na-HCO3,Na-HCO3-Cl,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
63,DLGUA6003-310319,6.584,4.638999999999999,107.2,8.565,23.1792,24.4073,148.35,66.65,0.164279655,0.190866077,4.662943707,0.219063233,0.241309236,0.688499295,2.4313294869999997,1.110685242,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
64,DLGUA6141-240319,3.016,0.3768,250.3,3.8339999999999996,105.7702,23.9288,278.425,51.6,0.07525325599999999,0.015502983,10.88745159,0.09806052900000001,1.10113059,0.67500141,4.563147371,0.859885349,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
65,DLGUA961-120415,44.09,5.224,180.9,7.961,207.94611,19.14,187.0,39.6,1.1001047959999999,0.214935199,7.868717506,0.20361499100000002,2.164842488,0.539915374,3.064769896,0.659912012,Na-HCO3,Na-HCO3,Na-Ca-HCO3-SO4,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
66,DLGUA989-251015,52.37,6.63,179.04,33.7,37.16,54.0,462.0,2.0,1.3067019309999999,0.272783378,7.787811952999999,0.861930058,0.386857666,1.5232722140000001,7.57178445,0.033328889,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
67,DLGUA996-060414,2.64,2.66,98.82,3.6,36.0,11.0,205.0,16.0,0.06587155,0.109442502,4.298433742,0.092075615,0.37478137799999994,0.31029619199999997,3.359774485,0.266631116,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
68,DLGUA996-251015,3.093,2.17,105.35,5.57,36.86,11.0,224.0,1.0,0.07717451,0.08928204099999999,4.58247313,0.142461437,0.383734488,0.31029619199999997,3.671168218,0.016664445,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
69,DLGUE1213-110318,57.1738,20.0614,106.288,9.1426,128.255,98.161,154.0,12.0,1.4265632019999999,0.825402181,4.623273888,0.233836254,1.33521071,2.76899859,2.52392815,0.199973337,Na-Cl,Na-Cl,Na-Cl-HCO3,Na-Cl,Na-Cl,Na-Cl,Na-Cl,Na-Cl,Na-Cl-HCO3,Na-Cl,Na-Cl
70,DLGUE1248-161016,71.6036,22.7219,41.8189,1.82972,141.99,76.43,234.0,20.0,1.7866061180000001,0.9348652540000001,1.81902217,0.046797943,1.478200217,2.155994358,3.8350596560000003,0.333288895,Na-HCO3,Ca-HCO3,Ca-Na-HCO3-Cl,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Ca-HCO3,Ca-Na-HCO3,Ca-HCO3,Ca-HCO3
71,DLHID1434-100814,79.19,25.9,105.8,24.1,343.07,63.1,192.0,12.0,1.9758970009999999,1.0656243570000001,4.602047055,0.616395086,3.571562422,1.779971791,3.1467156160000003,0.199973337,Na-SO4,Na-SO4,Na-SO4-HCO3,Na-SO4,Na-SO4,Na-SO4,Na-SO4,Na-SO4,Na-SO4,Na-SO4,Na-SO4
72,DLHID1498-110617,27.86,30.6,124.6,18.41,80.5824,90.82,268.75,4.4,0.695144468,1.2590002059999998,5.419802108,0.47086446200000004,0.838910635,2.561918195,4.404582405,0.073323557,Na-HCO3,Na-HCO3,Na-HCO3-Cl,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
73,DLHID1505-111112,61.95,28.1,92.95,12.05,105.15,99.8,217.2,18.28,1.545735815,1.156140712,4.0431027760000005,0.308197543,1.09467394,2.8152327219999997,3.55972204,0.30462605,Na-HCO3,Na-HCO3,Na-HCO3-Cl,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
74,DLMIC1665-240416,2.843,12.302999999999999,72.01,7.867000000000001,14.69,25.0,164.0,2.0,0.07093667299999999,0.5061921420000001,3.1322628389999996,0.201210794,0.15293162300000002,0.705218618,2.687819588,0.033328889,Na-HCO3,Na-HCO3,Na-HCO3-Cl,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
75,DLMIC1666-300314,2.639,5.185,56.62,8.123,18.0,10.0,179.0,12.0,0.065846599,0.21333059,2.462834634,0.20775839399999999,0.18739068899999997,0.282087447,2.933656746,0.199973337,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
76,DLMIC1666-240416,4.024,15.695,64.65899999999999,9.461,9.11,12.0,194.0,3.0,0.10040421199999999,0.645751903,2.812511914,0.24197983,0.09484051,0.338504937,3.179493903,0.049993334,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
77,DLMIC1725-300314,15.28,10.87,59.88,5.938,9.0,15.0,242.0,10.0,0.38125655,0.44723308,2.60463684,0.151873611,0.093695344,0.42313117100000003,3.966172807,0.166644447,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
78,DLMIC1728-021212,60.46,61.49,33.78,10.9,41.0,21.0,401.0,9.0,1.508558311,2.529932113,1.469349239,0.2787845,0.426834347,0.592383639,6.572046676,0.149980003,Mg-HCO3,Mg-HCO3,Mg-Na-HCO3,Mg-HCO3,Mg-HCO3,Mg-HCO3,Mg-HCO3,Mg-HCO3,Mg-HCO3,Mg-HCO3,Mg-HCO3
79,DLMIC1753-200414,9.8,13.65,43.8,4.96,6.0,22.0,211.0,30.0,0.24452318,0.561612837,1.905195283,0.126859736,0.062463563,0.6205923839999999,3.4581093480000002,0.499933342,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
80,DLPUE1990-110218,81.3351,19.6607,59.3414,8.14744,65.366,46.652,183.0,22.0,2.0294201309999997,0.8089158609999999,2.581209027,0.208383485,0.6804988759999999,1.315994358,2.999213321,0.366617784,Na-HCO3,Na-HCO3,Na-Ca-HCO3-Cl,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
