,identification,Ca_input (mg/L),Mg_input (mg/L),Na_input (mg/L),K_input (mg/L),SO4_input (mg/L),Cl_input (mg/L),HCO3_input (mg/L),CO3_input (mg/L),Ca mMol/L,Mg mMol/L,Na mMol/L,K mMol/L,SO4 mMol/L,Cl mMol/L,HCO3 mMol/L,CO3 mMol/L,GMC,hp_Ca,hp_Mg,hp_Na,hp_K,hp_SO4,hp_Cl,hp_HCO3,hp_CO3,7 hlr (b),7 hlr (b+h),Ca_p,Mg_p,Na_p,K_p,SO4_p,Cl_p,HCO3_p,CO3_p,Catboost (b),Catboost (b+h),Ca_p,Mg_p,Na_p,K_p,SO4_p,Cl_p,HCO3_p,CO3_p,SVM-L (b),SVM-L (b+h),Ca_p,Mg_p,Na_p,K_p,SO4_p,Cl_p,HCO3_p,CO3_p,SVM-P (b),SVM-P (b+h),Ca_p,Mg_p,Na_p,K_p,SO4_p,Cl_p,HCO3_p,CO3_p,SVM-RBF (b),SVM-RBF (b+h)
10,DLCHI395-260616,4.3580000000000005,1.0170000000000001,240.83,6.9635,201.7535,57.37,330.21,29.54,0.108737961,0.041843242,10.47552923,0.178102373,2.10037374,1.618335684,5.411859184,0.492267698,Na-HCO3,0.00074836,0.00010853200000000001,0.999143108,0.309776085,0.047107711,0.09343378199999999,0.859458507,0.018854195,Na-HCO3,Na-HCO3,0.03991428999219372,1.3244678331592502e-17,0.9600857100077642,4.218904112827245e-14,1.508535941492434e-06,3.8468944773457343e-08,0.9999984527448604,2.502532335767442e-10,Na-HCO3,Na-HCO3,2.6253438922242357e-14,1.5944841844710943e-14,0.9999998999999286,1.0000002925375615e-07,2.962861878287539e-14,1.5997165797577765e-14,0.9999999666666087,3.3333345538007474e-08,Na-HCO3,Na-HCO3,6.846591814927783e-12,2.6639057813127303e-12,0.9999987053113847,1.294679104841356e-06,0.007494103502450315,0.0025595281031643813,0.9899415395003345,4.828894050760642e-06,Na-HCO3,Na-HCO3,3.551488823799419e-14,1.2715207031559486e-14,0.9999999499999344,5.0000017473676395e-08,2.964336528146669e-14,1.6038525834555655e-14,0.9999999666666087,3.333334553800748e-08,Na-HCO3,Na-HCO3
11,DLCHI395-260415,5.271,1.54,254.1,6.041,243.67754,58.08,307.4,31.8,0.131518539,0.063361448,11.0527425,0.15450799699999998,2.536827892,1.6383638930000002,5.038022814,0.5299293429999999,Na-HCO3,0.0008939410000000001,0.000202745,0.9989033140000001,0.20391384699999998,0.077767457,0.103748423,0.81848412,0.019387967,Na-HCO3,Na-HCO3,0.03285682240177201,1.0240323006694439e-17,0.9671431775982197,8.320330850429571e-15,4.010802912202106e-06,4.210974506295745e-08,0.9999959470535884,3.375431822887289e-11,Na-HCO3,Na-HCO3,2.887648202523258e-14,1.611713627572795e-14,0.9999999004510619,9.954889304380514e-08,3.1728978877465713e-14,1.7041134434110178e-14,0.9999999666666048,3.3333346260675656e-08,Na-HCO3,Na-HCO3,4.788798533968624e-12,1.624454289371418e-12,0.9999989060419998,1.0939515870277988e-06,0.021797716833394022,0.0026823262902110974,0.9755144431517307,5.513724664001884e-06,Na-HCO3,Na-HCO3,3.551484826058277e-14,1.2715341049238013e-14,0.9999999499999344,5.0000017471368534e-08,7.07058270261981e-14,3.797839866572389e-14,0.9999999666665319,3.3333359432182365e-08,Na-HCO3,Na-HCO3
12,DLCHI395-250617,4.993,1.3090000000000002,312.9,6.312,135.82299999999998,60.3501,349.92,43.2,0.124582065,0.053857231,13.61040192,0.161439244,1.4139980840000002,1.702400564,5.734889208999999,0.719904013,Na-HCO3,0.000548456,9.92e-05,0.9993523609999999,0.243325381,0.022380585,0.096157359,0.8814620559999999,0.046466573,Na-HCO3,Na-HCO3,0.0039540018221596055,4.753047141866427e-19,0.9960459981778391,1.2895240017185234e-15,2.1324562150791584e-09,2.8551707638178616e-08,0.9999999692190079,9.68282087593407e-11,Na-HCO3,Na-HCO3,2.662857086329684e-14,1.5972811018993346e-14,0.9999999000096634,9.99902938952357e-08,1.5795404610237878e-14,2.8417585966370733e-14,0.9999999666665993,3.3333356557959613e-08,Na-HCO3,Na-HCO3,2.619701868682833e-12,9.046408375111727e-13,0.9999993402187203,6.597777554058697e-07,0.0005009637822448459,0.0019963383826442694,0.9974894691284906,1.3228706620321627e-05,Na-HCO3,Na-HCO3,3.5514887202021524e-14,1.2715210504525303e-14,0.9999999499999344,5.000001747367517e-08,1.60976632056528e-14,2.862869568710364e-14,0.9999999666665997,3.333335550354093e-08,Na-HCO3,Na-HCO3
13,DLCHI395-261014,6.3629999999999995,1.608,373.9,6.627999999999999,235.95,62.2,300.4,20.2,0.158765407,0.066159226,16.26375608,0.169521437,2.456379612,1.754583921,4.923298807,0.336621784,Na-HCO3,0.000502749,8.540000000000002e-05,0.9994118809999999,0.21945507,0.08821272599999999,0.117891796,0.7938954779999999,0.008714695,Na-HCO3,Na-HCO3,0.001926951836167088,3.2956489604235964e-19,0.9980730481638317,1.3754278928697219e-15,8.629941683627541e-06,3.7557299913706777e-07,0.9999909942533136,2.3200361772160702e-10,Na-HCO3,Na-HCO3,3.9826839338105816e-14,1.6150572502354785e-14,0.9999999111762646,8.882367956686501e-08,5.4565967447676325e-14,2.93370753910982e-14,0.9999999666665621,3.3333353973585044e-08,Na-HCO3,Na-HCO3,1.4094068787812476e-13,4.7119040160394905e-14,0.9999998349422956,1.6505751625578303e-07,0.01947199365861828,0.004079397088592553,0.9764480352531405,5.739996488385055e-07,Na-HCO3,Na-HCO3,3.551486687709402e-14,1.2715278640832036e-14,0.9999999499999344,5.000001747302074e-08,2.0767210600457504e-13,1.1172571799757071e-13,0.9999999666662749,3.3333405690607923e-08,Na-HCO3,Na-HCO3
14,DLCHI395-100618,4.707,1.318,291.6,7.35,179.2044,66.0504,326.975,28.7,0.11744598,0.054227525,12.68390285,0.187987713,1.865624219,1.863198872,5.358840304,0.478269564,Na-HCO3,0.000536534,0.000110428,0.999353037,0.323672051,0.041265381000000004,0.11978281800000001,0.8389518020000001,0.01726635,Na-HCO3,Na-HCO3,0.007573446867938482,2.1148196509276905e-18,0.9924265531320596,1.6949109619007365e-15,1.1024218432893216e-07,7.843069945944162e-08,0.999999811254764,7.235222369793403e-11,Na-HCO3,Na-HCO3,2.625445882731599e-14,1.5944919392508826e-14,0.999999899999929,1.0000002873788442e-07,2.631785502232441e-14,2.8441935415977205e-14,0.9999999666665996,3.333334553800671e-08,Na-HCO3,Na-HCO3,1.1319670447679215e-12,4.2643708310026957e-13,0.9999994728506747,5.271477667091042e-07,0.0030158566653923384,0.004288878575666541,0.9926926983528911,2.566406049979937e-06,Na-HCO3,Na-HCO3,3.551488823799419e-14,1.2715207031559486e-14,0.9999999499999344,5.0000017473676395e-08,2.7285158467432815e-14,2.7564323185548907e-14,0.9999999666665996,3.333334553800671e-08,Na-HCO3,Na-HCO3
15,DLCOA456-220516,1.635,0.5324,363.1,3.283,12.9397,26.12,533.6,60.32,0.040795449,0.021904958,15.793981900000002,0.083967845,0.134709961,0.736812412,8.745247147999999,1.005199307,Na-HCO3,5.4600000000000006e-05,1.42e-05,0.99993117,0.41282551700000003,0.000140378,0.011427172,0.98843245,0.35820610700000005,Na-HCO3,Na-HCO3,0.001062810064827874,5.803437856113676e-19,0.99893718993517,2.214684965663022e-15,4.060847839181894e-13,8.295812657971675e-12,0.999999999941817,4.9481139835069284e-11,Na-HCO3,Na-HCO3,2.6250893998455204e-14,1.594495337752314e-14,0.9999998999999279,1.0000002993172468e-07,1.9606112447979117e-14,2.113496080162652e-14,0.9999999000019344,9.999802469295799e-08,Na-HCO3,Na-HCO3,4.232052326522304e-14,1.8099043807913523e-14,0.9999998999366362,1.0006330338854042e-07,1.4975118079001765e-09,2.1650330345791527e-09,0.9999711619085558,2.8834428899353975e-05,Na-HCO3,Na-HCO3,3.551488751955231e-14,1.2715209440044081e-14,0.9999999499999344,5.000001747367587e-08,1.9613172927285573e-14,2.1218061283291458e-14,0.9999999000049699,9.999498927884505e-08,Na-HCO3,Na-HCO3
16,DLDUR5406-290418,10.03,0.2404,191.17,1.6459,111.9017,18.2497,204.82,16.72,0.25026198899999996,0.009890969,8.315437953,0.042096459,1.1649631459999998,0.514801128,3.356824439,0.278629516,Na-HCO3,0.0054244390000000005,9.6e-06,0.9945659590000001,0.00770431,0.046221171,0.030999389,0.92277944,0.034762002,Na-HCO3,Na-Ca-HCO3,0.13326063073993824,1.8323554051020724e-16,0.8667393692599739,8.77431261823595e-14,2.975132209966597e-07,2.211527858399773e-09,0.9999996992172745,1.0579766949050169e-09,Na-HCO3,Na-HCO3,3.551488823799419e-14,1.2715207031559486e-14,0.9999999499999344,5.0000017473676395e-08,2.958996574156127e-14,1.589101140500955e-14,0.9999999666663711,3.333358338001049e-08,Na-HCO3,Na-HCO3,3.3137456782108227e-09,1.1680508716811367e-09,0.999999283145366,7.123728373552844e-07,0.008675800404977913,0.00028375073013429557,0.991027149028785,1.329983610287793e-05,Na-HCO3,Na-HCO3,3.551488823799419e-14,1.2715207031559486e-14,0.9999999499999344,5.0000017473676395e-08,2.95900435293411e-14,1.5891220095471427e-14,0.9999999666660061,3.333394853115928e-08,Na-HCO3,Na-HCO3
17,DLDUR5809-270119,10.48,0.1396,55.05,1.41,21.1716,21.8514,69.55,25.68,0.261490094,0.005743674,2.3945433869999997,0.036062949,0.220408928,0.616400564,1.139864953,0.427942941,Na-HCO3,0.056178279000000005,3.16e-05,0.9437900790000001,0.005725096,0.01266514,0.251352895,0.735981966,0.14122618,Na-HCO3,Na-Ca-HCO3-Cl,0.5203657102490331,5.481715849360788e-14,0.4796342896669934,8.391860731460699e-11,3.5955972099794635e-10,0.00013568694295533536,0.9998641345114436,1.7818604125516846e-07,Ca-HCO3,Ca-Na-HCO3,3.551488823799419e-14,1.2715207031559486e-14,0.9999999499999344,5.0000017473676395e-08,2.005264806520539e-12,4.297782001241841e-12,0.9999999499666464,5.002705063129109e-08,Na-HCO3,Na-HCO3,1.818531631357478e-06,6.389585361592143e-07,0.9999948311419292,2.7113679032283962e-06,0.0003516515905877214,0.0520700375199309,0.9416636594154667,0.005914651474014825,Na-HCO3,Na-HCO3,9.142602940596721e-08,3.271041808775918e-08,0.9999997872890138,8.857453860237609e-08,4.56513056414365e-12,9.785264332258652e-12,0.9999999499405863,5.0045063247924895e-08,Na-HCO3,Na-HCO3
18,DLDUR638-111118,7.419,0.1677,240.59,1.5545,41.2193,10.6846,271.69,26.26,0.185114028,0.006899815,10.4650898,0.039758762,0.42911739,0.301399154,4.452766487,0.43760831899999997,Na-HCO3,0.002014571,3.11e-06,0.9979823240000001,0.01224064,0.004689808,0.007774311999999999,0.98753588,0.275212126,Na-HCO3,Na-HCO3,0.030988784778438545,1.5065808953687522e-17,0.9690112152215108,5.0433562011783615e-14,2.0042948861056451e-10,3.4902967989303124e-11,0.9999999994015927,3.630748883016336e-10,Na-HCO3,Na-HCO3,3.551488823799419e-14,1.2715207031559486e-14,0.9999999499999344,5.0000017473676395e-08,4.063311816311487e-14,1.6176298324642204e-14,0.9999999125921413,8.740780196778858e-08,Na-HCO3,Na-HCO3,2.725405332383879e-10,9.496584421300233e-11,0.9999996917024242,3.0793006943813443e-07,1.2073808295749726e-08,6.154670366438367e-09,0.999971648264622,2.833350689937706e-05,Na-HCO3,Na-HCO3,3.551488823799419e-14,1.2715207031559486e-14,0.9999999499999344,5.0000017473676395e-08,4.4153866917233015e-14,1.553386940620585e-14,0.9999999233255181,7.667442224485014e-08,Na-HCO3,Na-HCO3
19,DLDUR638-030917,6.189,0.1214,198.8,1.169,47.7455,13.7369,274.835,37.62,0.15442387300000002,0.004994857,8.647324711,0.029898998,0.49705900700000005,0.387500705,4.504310345,0.6269164110000001,Na-HCO3,0.002825995,3.33e-06,0.9971706779999999,0.007054525,0.004599726,0.011970482,0.983429792,0.29328125,Na-HCO3,Na-HCO3,0.16113223706647636,1.3140842136554283e-15,0.8388677629332784,2.4395466651849976e-13,2.238143071126973e-10,2.540767605229043e-10,0.9999999966511426,2.870966375559755e-09,Na-HCO3,Na-HCO3,3.551488823799419e-14,1.2715207031559486e-14,0.9999999499999344,5.0000017473676395e-08,2.720346409292894e-14,1.627041018249931e-14,0.9999999000458558,9.995410086424138e-08,Na-HCO3,Na-HCO3,3.911252072997625e-09,1.35712113144943e-09,0.99999877621776,1.2185138668954256e-06,2.657494228714159e-07,1.5940009609943552e-07,0.999725958234795,0.0002736166156858486,Na-HCO3,Na-HCO3,3.551488823799419e-14,1.2715207031559486e-14,0.9999999499999344,5.0000017473676395e-08,2.8345992630627047e-14,1.6360008694816235e-14,0.9999999002540985,9.974585705358832e-08,Na-HCO3,Na-HCO3
