,hlr2,hlr3,hlr4,hlr5,hlr6,hlr7,hlr8,CationC,AnionC
39,2.8798854069999997,-7.410323125,-4.765145219,-2.3491189169999998,-7.512460845,-1.903430575,24.28381599,3,2
40,2.676484232,-7.411659669,-4.718345173,-2.107776044,-7.4779192729999995,-2.011524971,24.39886514,3,2
41,2.912973848,-7.5011826,-4.908786522,-1.97616265,-7.587619682000001,-1.7368107469999998,24.31690443,3,2
42,1.191444334,-6.986295804,-4.39795314,-1.9162424980000001,-7.08187387,-2.73650069,24.75002883,3,2
43,3.2984703239999997,-7.561604044,-4.968048243,-2.235015691,-7.625284805,-1.9548417869999999,24.23240478,3,2
44,1.8186934019999998,-7.243118172999999,-4.610322745,-2.200681547,-7.329013214,-1.832117899,24.54437066,3,2
45,3.060695778,-7.472210699,-4.830263341,-1.861886869,-7.539607132,-2.462285596,24.33109675,3,2
46,2.812790676,-7.4302435760000005,-4.786173612,-2.049535954,-7.509750296,-1.932786364,24.334502899999997,3,2
47,1.5945284530000001,-7.1951483629999995,-4.555536002,-1.9767155719999998,-7.287158217999999,-2.005627637,24.52992561,3,2
48,2.76795725,-7.413850987000001,-4.784981216,-1.7920885080000002,-7.5170649670000005,-2.015360116,24.28966948,3,2
49,2.441180344,-7.323394112999999,-4.6367771310000006,-2.277810491,-7.406165704,-1.900308238,24.40472136,3,2
50,4.7492839810000005,-7.690885965,-4.989861108,-2.413362579,-7.7676333710000005,-2.40106811,24.07386052,3,2
51,1.878397799,-7.318181881,-4.597441991,-2.117125563,-7.405337393,-1.601520281,24.49871491,3,2
52,3.305036359,-7.584652018,-4.996022534,-1.9799882969999998,-7.6548833720000005,-1.86126438,24.23897081,3,2
53,3.2913642810000003,-7.57154927,-5.006603419,-2.018978183,-7.669508511,-1.72833299,24.22529873,3,2
54,3.75119872,-7.588332235,-4.973661086,-2.1187461990000003,-7.675428211,-1.97036607,24.17432088,3,2
55,3.188083645,-7.4904845170000005,-4.812873988,-1.777421665,-7.570263355,-2.511518882,24.30433632,3,2
56,2.614058958,-7.28685401,-4.627511083,-2.3285710330000002,-7.374503541,-2.243369786,24.50349255,3,2
57,3.061579516,-7.4604023129999995,-4.855610615,-2.030079461,-7.544318833999999,-2.142948135,24.33198049,3,2
58,2.850380555,-7.401812796000001,-4.799184747,-2.172288725,-7.486584941,-2.071087145,24.37209278,3,2
59,3.2068732410000003,-7.426449602999999,-4.773030983,-2.309808989,-7.517614106,-2.1200540119999998,24.32312592,3,2
60,2.9209538060000004,-7.46096778,-4.859465224,-2.2008049880000002,-7.550444063,-1.94240488,24.32488439,3,2
61,3.32145647,-7.513945594,-4.861819387,-2.084196174,-7.583084094,-2.154999185,24.25539092,3,2
62,3.1743780939999997,-7.497675387999999,-4.833499982,-2.048956326,-7.583482762,-1.8966157940000001,24.29063077,3,2
63,2.7981420760000004,-7.340368893,-4.749347897,-2.224528315,-7.427272045,-2.272858462,24.42521371,3,2
64,2.986105092,-7.5002622070000005,-4.927843545,-2.127532792,-7.57590373,-1.7484189490000002,24.25650607,3,2
65,3.196950265,-7.472239642999999,-4.800529104,-2.134014819,-7.548679518999999,-2.2795087169999997,24.31320294,3,2
66,3.054127248,-7.482795299,-4.813301373,-2.015058873,-7.54593167,-2.322250655,24.32452822,3,2
67,2.0237977430000003,-7.264760963,-5.122895741000001,-0.870636656,-7.3380333460000005,-4.180902103999999,23.29419872,3,2
68,2.8379352989999997,-7.443659925,-4.824702085,-1.884629389,-7.564725456000001,-1.785039424,24.35964753,3,2
69,0.9935244609999999,-6.6143431139999995,-3.681473379,-1.8807190169999999,-6.505670338,-4.978660649,24.00688295,3,2
70,2.649582413,-7.215207248,-4.826560021000001,-1.4142276319999998,-7.094775972000001,-5.74103383,23.58351687,3,2
71,2.472832006,-7.391957655,-5.00682537,-1.5909780390000001,-7.271526378,-4.500266041000001,23.40676646,3,2
72,1.7382255709999999,-6.856844766,-3.85305925,-2.087396208,-6.768764103,-4.726855197,23.83529708,3,2
