iter	Passed	Remaining
1612	17449	4186
1613	17460	4175
1614	17474	4165
1615	17486	4155
1616	17495	4144
1617	17509	4133
1618	17518	4122
1619	17529	4111
1620	17540	4101
1621	17551	4090
1622	17562	4079
1623	17575	4069
1624	17587	4058
1625	17596	4047
1626	17609	4037
1627	17620	4026
1628	17631	4015
1629	17641	4004
1630	17653	3993
1631	17664	3983
1632	17676	3972
1633	17687	3961
1634	17697	3950
1635	17709	3940
1636	17719	3929
1637	17730	3918
1638	17741	3907
1639	17749	3896
1640	17760	3885
1641	17771	3874
1642	17783	3864
1643	17797	3853
1644	17806	3842
1645	17816	3831
1646	17827	3820
1647	17839	3810
1648	17849	3799
1649	17858	3788
1650	17869	3777
1651	17879	3766
1652	17890	3755
1653	17900	3744
1654	17910	3733
1655	17920	3722
1656	17931	3711
1657	17942	3700
1658	17952	3690
1659	17965	3679
1660	17976	3668
1661	17986	3657
1662	17996	3646
1663	18007	3636
1664	18018	3625
1665	18029	3614
1666	18038	3603
1667	18049	3592
1668	18059	3581
1669	18070	3570
1670	18082	3560
1671	18093	3549
